"Postcode","Latitude","Longitude","District","Ward","Roads","Population","Households"
"CF10 1AA","51.479103","-3.178094","Cardiff","Cathays","Heol Eglwys Fair","",""
"CF10 1AB","51.478637","-3.177909","Cardiff","Cathays","Heol Eglwys Fair,Heol y Drindod","1","1"
"CF10 1AD","51.478048","-3.177476","Cardiff","Cathays","Heol Eglwys Fair,Wood Street","4","3"
"CF10 1AE","51.478412","-3.176996","Cardiff","Cathays","","1","1"
"CF10 1AF","51.478723","-3.177407","Cardiff","Cathays","Heol Eglwys Fair","5","1"
"CF10 1AG","51.479366","-3.177841","Cardiff","Cathays","Bakers Row,Heol y Drindod","5","2"
"CF10 1AH","51.479341","-3.176790","Cardiff","Cathays","Heol y Drindod,The Hayes,Working Street","",""
"CF10 1AJ","51.478369","-3.175901","Cardiff","Cathays","Hayes Bridge Road,Mill Lane,The Hayes","4","3"
"CF10 1AL","51.479124","-3.177763","Cardiff","Cathays","Bakers Row","",""
"CF10 1AP","51.476507","-3.175104","Cardiff","Cathays","A4160,Heol Eglwys Fair,Heol Y Tollty,Hope Street,West Canal Wharf","",""
"CF10 1AQ","51.479518","-3.176117","Cardiff","Cathays","The Hayes","48","29"
"CF10 1AR","51.480430","-3.182002","Cardiff","Cathays","Heol Y Porth","63","38"
"CF10 1AT","51.480008","-3.179255","Cardiff","Cathays","Heol Eglwys Fair,High Street","",""
"CF10 1AU","51.480167","-3.178625","Cardiff","Cathays","Heol Eglwys Fair","",""
"CF10 1AW","51.480883","-3.179940","Cardiff","Cathays","High Street","9","8"
"CF10 1AX","51.480463","-3.179670","Cardiff","Cathays","High Street","2","2"
"CF10 1AY","51.481228","-3.179589","Cardiff","Cathays","A4161","12","6"
"CF10 1AZ","51.481078","-3.179326","Cardiff","Cathays","","3","3"
"CF10 1BA","51.481231","-3.179301","Cardiff","Cathays","A4161","6","3"
"CF10 1BB","51.480835","-3.179305","Cardiff","Cathays","St John Street","",""
"CF10 1BD","51.481090","-3.178966","Cardiff","Cathays","","",""
"CF10 1BE","51.480687","-3.179748","Cardiff","Cathays","","",""
"CF10 1BF","51.479518","-3.176117","Cardiff","Cathays","The Hayes","29","22"
"CF10 1BG","51.480566","-3.179183","Cardiff","Cathays","Heol y Drindod,Stryd Yr Eglwys","",""
"CF10 1BH","51.480411","-3.178588","Cardiff","Cathays","Heol y Drindod,Working Street","1","1"
"CF10 1BJ","51.481159","-3.184598","Cardiff","Cathays","A4161","",""
